spkid,pdes,full_name,neo,pha,H,epoch,e,a,q,i,om,w,ma,tp,per_y,moid,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,condition_code,n_obs_used,data_arc
20429094,429094,429094 (2009 SG2),Y,Y,20.06,2461200.5,0.1702108112710299,1.120927195260438,0.9301332679793988,25.97737443974839,9.0635153323395,252.989754716668,106.0947166762448,2461072.75150504,1.18679118280079,0.035837,4.9725e-08,2.5542e-09,5.7088e-08,1.3994e-05,7.615e-06,2.3491e-05,2.5271e-05,0.0,190,4788.0
20429584,429584,429584 (2011 EU29),Y,Y,19.8,2461200.5,0.6998019417251283,2.502567463188592,0.7512658931510867,2.574736986792231,177.0909898304452,251.2890049199036,324.7637151646496,2461342.0352866617,3.95901268279477,0.00324014,1.1938e-08,4.7306e-09,3.0973e-08,5.1099e-06,5.4972e-05,5.4798e-05,3.7789e-06,0.0,454,4401.0
20430440,430440,430440 (2000 OH),Y,Y,17.65,2461200.5,0.5958395885321668,2.414335356875172,0.9757787712560076,18.80198444896252,283.609058470884,355.740711762843,314.0345354117406,2461375.454038505,3.7514969178855,0.039892,2.6667e-08,5.4442e-09,6.4512e-08,5.5887e-06,3.0211e-05,3.0849e-05,7.5959e-06,0.0,387,9362.0
20430544,430544,430544 (2002 GM2),Y,Y,18.73,2461200.5,0.8065902685878255,2.201154577281146,0.425724715588625,3.346598529217996,338.916459026627,84.81842185578621,176.7639651121583,2460614.813148512,3.26575812147822,0.0111202,5.0664e-08,1.6109e-08,1.128e-07,1.189e-05,0.00012728,0.0001269,1.4569e-05,0.0,149,8397.0
20430804,430804,430804 (2005 AD13),Y,Y,17.89,2461200.5,0.7546670065962106,1.949967352616881,0.478391327657162,12.37568429344552,102.7281969348976,263.6538770404927,332.9743894518592,2461275.164205913,2.7230098518381,0.0173004,1.3395e-08,1.3497e-09,2.604e-08,3.8724e-06,1.2369e-05,1.1758e-05,2.1807e-06,0.0,1136,7849.0
20433953,433953,433953 (1997 XR2),Y,Y,20.91,2461200.5,0.2009078137738075,1.07648445152497,0.8602103138075924,7.190582736760533,250.614071695786,84.5116094288772,261.2763266015891,2461312.3739248863,1.11691428201306,0.000254634,2.4329e-08,1.6305e-09,2.7165e-08,1.5903e-06,6.282e-06,7.7222e-06,5.5864e-06,0.0,548,10332.0
20434096,434096,434096 (2002 GO5),Y,Y,18.15,2461200.5,0.7678837078806611,1.895943093138044,0.4400792808484732,13.76437242329209,22.58100659265504,65.38506858010216,111.306642453713,2460905.6813485264,2.61063495685149,0.0314064,3.3631e-08,3.1925e-09,6.4404e-08,8.977e-06,1.5507e-05,1.5639e-05,7.9906e-06,0.0,263,7734.0
20434188,434188,434188 (2003 AD23),Y,Y,19.09,2461200.5,0.7627058264044398,1.645537303345592,0.3904764145180589,23.33567694284072,101.4722622902867,241.6677213296523,72.50169971708539,2461045.2235075366,2.11091040290345,0.0327066,6.6238e-08,2.4831e-09,1.0897e-07,1.366e-05,1.2779e-05,1.4549e-05,4.6844e-06,0.0,210,7709.0
20434196,434196,434196 (2003 HG2),Y,Y,21.54,2461200.5,0.1345391263925999,1.062464766165308,0.9195216847025098,19.77934261732854,214.2109198619032,225.1520857021045,165.8273862978279,2461016.243003838,1.09516613851198,0.0405699,4.4945e-08,5.2577e-09,4.6752e-08,8.2431e-06,8.1698e-06,2.162e-05,2.635e-05,0.0,256,8464.0
20434326,434326,434326 (2004 JG6),Y,Y,18.48,2461200.5,0.5311117798696794,0.6352313641985342,0.2978525037300062,18.94295457637965,37.0065321763775,353.0131616711597,64.9841795948276,2461167.1188367964,0.506297871694734,0.0389611,1.9326e-07,6.2144e-09,1.2145e-07,5.3699e-05,4.0418e-05,3.8168e-05,0.00022259,1.0,142,6227.0
20434633,434633,434633 (2005 WB1),Y,Y,20.7,2461200.5,0.3554279476679326,1.263488932690415,0.8144096544431139,22.87704845558158,61.39298721822699,265.791704665363,220.3667144723871,2461401.7065184074,1.42025185597985,0.0466774,4.5535e-08,2.0079e-09,5.865e-08,9.3001e-06,6.4402e-06,1.079e-05,7.1961e-06,0.0,277,7338.0
20434677,434677,434677 (2006 BZ7),Y,Y,17.44,2461200.5,0.3666013116885133,1.490046634687075,0.943793583933738,68.42020593971563,262.9488715225867,188.8113195494543,66.18456978555213,2461078.361532159,1.818896526853,0.0378042,7.4199e-08,3.7918e-09,1.1084e-07,1.399e-05,6.8599e-06,9.3021e-06,1.2569e-05,0.0,264,7332.0
20434734,434734,434734 (2006 FX),Y,Y,20.01,2461200.5,0.4381676599623713,1.494895764833407,0.839880785668694,24.64130912965778,181.1429424680336,299.5109537878534,46.72706271005315,2461113.847564201,1.82778272992143,0.00211243,3.501e-08,4.015e-09,5.3979e-08,1.2661e-05,1.0105e-05,1.3655e-05,2.313e-05,0.0,199,7280.0
20435159,435159,435159 (2007 LQ19),Y,Y,17.13,2461200.5,0.6340735453802975,2.600328280624118,0.9515289085761304,17.09388018427707,110.8067483843844,207.6311808802061,180.8223305813123,2461962.793257493,4.19324725372813,0.0177084,5.719e-08,2.9231e-08,1.4795e-07,9.174e-06,3.4725e-05,3.6928e-05,2.5724e-05,0.0,206,6414.0
20435548,435548,435548 (2008 QT3),Y,Y,18.88,2461200.5,0.5284807375269851,2.011871654449309,0.9486362386963024,7.250576952337755,271.8932359659433,160.9969040945502,43.29370875458455,2461075.1509274184,2.85370193698211,0.0118814,2.5555e-08,6.6277e-09,5.1499e-08,5.1889e-06,3.1092e-05,3.0838e-05,1.2424e-05,0.0,622,6463.0
20436329,436329,436329 (2010 GX62),Y,Y,20.09,2461200.5,0.6989522845391556,2.971618188684507,0.8945988669253635,21.82463130019689,206.9086925598828,317.0113464598385,71.61377529584266,2460828.2951677255,5.12268573986292,0.00172761,4.553e-08,2.7054e-08,1.3828e-07,1.5976e-05,2.7121e-05,3.0947e-05,9.6658e-06,0.0,182,1983.0
20436671,436671,436671 (2011 SV71),Y,Y,18.0,2461200.5,0.6065703027826133,2.637205836232518,1.037555093648885,13.35689640474324,80.5726566274386,190.7645655496921,201.1368126228829,2461890.7958146506,4.2827649970504,0.027814,4.1409e-08,5.0388e-08,1.1477e-07,7.3793e-06,5.6039e-05,5.714e-05,2.9806e-05,0.0,205,6195.0
20436724,436724,436724 (2011 UW158),Y,Y,19.98,2461200.5,0.3766387711666252,1.620438511669103,1.010118541882977,4.573214162509604,285.9402485555075,8.829081689853624,100.7853480426804,2460989.5681507024,2.06279959045991,0.00302564,5.6849e-09,1.2414e-08,6.5631e-09,9.3943e-07,2.1237e-06,4.5567e-06,2.1262e-05,0.0,964,4878.0
20436774,436774,436774 (2012 KY3),Y,Y,18.41,2461200.5,0.4863988478710701,1.231487594041805,0.6324934471323548,21.38605200220648,21.49670965288369,87.27347470579447,151.6749251319987,2460990.192492133,1.36663728142459,0.0240479,1.2307e-08,1.8998e-09,1.5005e-08,8.8058e-06,7.8361e-06,8.9562e-06,4.5128e-06,0.0,209,4854.0
20437841,437841,437841 (1998 HD14),Y,Y,21.0,2461200.5,0.3126111424422494,0.9633024254138456,0.6621633536878336,7.81419644069851,183.7496534864909,260.9288444243292,359.8568510072942,2461200.637318232,0.945479643783753,0.0340769,5.8373e-08,1.0015e-08,5.7655e-08,3.7056e-06,5.6812e-05,4.1119e-05,6.1943e-05,0.0,210,7735.0
20437844,437844,437844 (1999 MN),Y,Y,21.01,2461200.5,0.6653173921882938,0.6740747269365035,0.2256010874710728,2.031839959310485,81.38441415630061,9.209695476356153,103.7094169930292,2461142.2660585265,0.553439648632552,0.00596536,4.2549e-08,1.6312e-09,2.8983e-08,5.8331e-06,3.7229e-05,3.7147e-05,1.2357e-05,0.0,296,9860.0
20437905,437905,437905 (2001 XU30),Y,Y,19.98,2461200.5,0.6639431726070265,2.197439267181598,0.7384644685177885,8.92867789160358,71.97490008119888,107.1294230689549,169.5341770639916,2460640.1898239874,3.25749324342958,0.00383364,7.839e-08,6.5039e-09,1.7082e-07,2.2291e-05,5.5439e-05,5.9886e-05,1.0476e-05,0.0,184,4930.0
20438105,438105,438105 (2005 GO22),Y,Y,18.77,2461200.5,0.8233418079959588,1.913843980254103,0.3380962173295077,1.56249377643401,61.7503688990677,19.10574550572888,16.33078403040932,2461156.63049266,2.64769526020095,0.018591,2.8705e-08,5.5722e-09,5.5113e-08,6.3166e-06,0.0001689,0.00016942,8.1482e-06,0.0,312,6655.0
20438661,438661,438661 (2008 EP6),Y,Y,19.22,2461200.5,0.293093813581539,1.208895290751322,0.854575559764254,17.72401229504229,303.219116393398,130.3157008702908,316.7042872478694,2461258.8880334785,1.32920274947661,0.0474055,3.2458e-08,2.2175e-09,4.046e-08,1.1688e-05,1.013e-05,1.072e-05,1.1566e-05,0.0,249,5882.0
20438908,438908,438908 (2009 XO),Y,Y,20.63,2461200.5,0.5434776111848204,1.859071905423695,0.8487079472432127,0.3484731561781356,27.93757551511112,140.5221335342776,160.8523560491262,2460786.8170380406,2.5348512779261,0.00187266,8.5656e-09,9.8015e-10,1.5831e-08,1.9005e-06,0.00017837,0.00017833,7.5628e-07,0.0,840,3868.0
20438955,438955,438955 (2010 LN14),Y,Y,21.01,2461200.5,0.4744937269074477,1.153827599324995,0.6063436415126048,1.467335460375231,342.9297247875813,33.24556028569956,255.9266611993377,2461331.372017679,1.23942310170918,0.0180414,1.4133e-08,2.2758e-09,1.5826e-08,2.2563e-06,9.5426e-05,9.5434e-05,9.9444e-06,0.0,285,5819.0
